aabb,2,3,8,9,1,2,6,9,    -0.00000606 
aabb,0,3,4,6,1,3,4,7,     0.00015631 
aabb,1,3,4,5,1,3,7,9,    -0.00000126 
aabb,0,2,8,9,2,3,8,9,    -0.00013063 
aabb,0,2,5,7,2,3,6,7,     0.00012020 
aabb,1,3,5,7,2,3,5,7,    -0.00058020 
aabb,1,2,4,5,2,3,4,7,    -0.00016867 
aabb,1,3,5,7,0,1,5,7,    -0.00000206 
abbb,2,8,0,1,2,5,7,8,    -0.00000040 
aab,2,3,4,5,3,5,     0.01414124 
ab,2,7,2,8,    -0.00000000 
aabb,1,2,4,7,0,2,4,6,     0.00000128 
aab,1,3,7,9,3,5,    -0.00019006 
aabb,1,2,5,8,1,3,5,6,    -0.00003356 
aabb,0,2,8,9,0,2,4,6,     0.00000138 
abb,2,6,1,2,7,9,     0.00010307 
aabb,2,3,7,9,0,3,6,9,     0.00006488 
aabb,0,2,5,6,0,3,6,7,    -0.00004184 
abbb,1,7,0,2,3,4,6,9,     0.00001618 
abb,1,7,0,2,4,5,    -0.00008049 
abb,1,6,1,3,4,8,    -0.00002470 
aabb,0,2,4,8,1,2,8,9,     0.00001772 
aabb,1,2,4,7,0,2,4,5,    -0.00000220 
aabb,0,3,5,8,1,2,6,7,    -0.00006627 
aabb,1,2,6,9,1,3,4,6,     0.00000258 
aab,1,3,5,6,3,4,     0.00000000 
abb,3,5,1,3,4,6,    -0.00000000 
abb,0,7,1,2,8,9,    -0.00000000 
bbb,0,2,3,4,5,6,     0.00000000 
abb,2,6,2,3,4,8,     0.00403665 
aabb,2,3,4,5,0,1,4,5,     0.00000475 
aabb,0,2,5,8,1,3,5,7,    -0.00004046 
aabb,1,2,4,6,0,2,4,8,     0.00000184 
abbb,2,5,0,1,3,5,7,8,     0.00000000 
abb,3,8,0,2,5,9,    -0.00001765 
bbb,1,2,3,4,6,7,     0.00001724 
aab,0,2,4,7,2,5,     0.00008597 
aabb,2,3,4,7,1,3,5,9,    -0.00020006 
abb,3,9,1,3,5,8,    -0.00004467 
ab,3,6,3,5,    -0.00000000 
aab,2,3,8,9,0,5,    -0.00001117 
abb,2,9,1,2,5,7,     0.00008456 
aabb,0,1,5,8,0,2,5,8,    -0.00000209 
aab,0,2,4,6,2,7,    -0.00003967 
aabb,0,2,5,6,1,2,5,8,     0.00005661 
aabb,0,1,7,9,2,3,4,5,     0.00000509 
aab,0,1,8,9,0,6,    -0.00000045 
aabb,1,2,5,6,0,2,5,8,     0.00005894 
aabb,1,2,6,8,0,3,6,8,     0.00005086 
abb,2,7,1,2,5,9,    -0.00009278 
aab,2,3,4,6,3,6,     0.01414124 
aabb,1,3,7,8,0,3,6,8,     0.00001887 
aabb,0,3,4,5,0,2,5,9,     0.00000137 
abbb,3,4,0,2,3,4,6,7,    -0.00008726 
aab,0,2,5,8,3,9,     0.00004497 
aabb,0,2,6,7,1,3,6,7,     0.00001477 
aabb,1,3,8,9,2,3,4,6,     0.00024891 
aabb,1,2,4,8,2,3,8,9,     0.00005809 
aab,0,2,6,9,0,8,    -0.00004088 
aabb,0,3,6,7,1,2,5,8,    -0.00006627 
aaab,0,1,3,5,7,8,2,5,     0.00000000 
aabb,2,3,4,8,1,2,4,5,     0.00009803 
aabb,1,2,6,7,0,2,7,8,    -0.00001762 
aabb,2,3,5,8,0,3,5,6,    -0.00011684 
aabb,0,2,4,5,2,3,4,5,    -0.00001832 
ab,3,8,3,7,     0.00000000 
abb,2,4,1,3,5,7,    -0.00001486 
aab,1,3,5,9,2,5,     0.00009234 
aabb,2,3,6,8,1,2,5,6,     0.00000306 
abb,2,6,1,2,4,6,     0.00010954 
abbb,2,4,1,2,3,4,5,7,    -0.00003229 
abbb,2,9,1,2,3,6,7,9,    -0.00000965 
ab,3,7,3,8,    -0.00000000 
aabb,0,1,7,9,2,3,7,9,     0.00000364 
aabb,2,3,6,7,1,3,6,7,    -0.00044860 
abbb,2,6,0,2,3,6,7,8,    -0.00000000 
aabb,1,2,4,5,1,3,4,7,     0.00005270 
aabb,1,3,4,6,2,3,7,9,     0.00005315 
aabb,0,1,7,9,0,2,7,9,    -0.00000366 
aabb,1,3,5,8,1,3,6,7,     0.00001390 
aaa,0,2,3,5,8,9,     0.00003042 
aabb,1,2,4,7,2,3,7,9,     0.00005809 
abb,1,6,2,3,4,7,    -0.00008883 
aabb,1,2,4,5,2,3,5,9,     0.00000136 
aab,0,1,6,9,2,5,     0.00000000 
aab,2,3,7,9,2,8,    -0.00000000 
aabb,1,2,4,7,0,2,7,9,     0.00002017 
aabb,0,1,8,9,0,2,8,9,    -0.00000366 
ab,0,6,3,5,     0.00000000 
aab,0,3,7,9,1,5,    -0.00012200 
aabb,1,2,5,6,1,2,5,6,     0.00005266 
aabb,1,3,4,7,0,2,5,9,     0.00003798 
aab,0,3,4,5,3,8,    -0.00017029 
aabb,0,2,4,7,0,2,4,7,     0.00002183 
aabb,1,2,4,8,0,2,4,5,     0.00000128 
aab,1,2,7,9,0,8,     0.00000000 
aabb,1,3,7,8,0,1,5,6,    -0.00000159 
aabb,0,3,4,6,2,3,4,8,    -0.00044756 
aab,1,2,5,7,2,9,     0.00008456 
aabb,0,1,5,8,1,2,5,6,    -0.00000033 
bbb,0,2,3,6,7,9,     0.00003042 
aabb,2,3,7,9,1,2,5,9,     0.00000606 
aabb,2,3,5,8,0,2,5,8,    -0.00031268 
aab,0,2,7,9,2,7,     0.00017607 
aabb,2,3,5,8,1,3,5,7,     0.00011551 
aab,2,3,4,5,3,6,     0.00000001 
aab,0,3,4,7,3,5,     0.00020714 
abb,3,5,0,3,4,8,    -0.00012039 
aabb,0,2,4,6,0,1,4,6,    -0.00000036 
aab,2,3,4,9,2,4,     0.00613845 
aabb,0,3,4,7,0,1,4,5,     0.00000048 
aabb,1,3,7,8,1,2,6,7,     0.00006219 
aaab,0,1,2,5,6,8,3,7,     0.00000260 
aabb,1,3,4,8,2,3,5,9,     0.00006650 
